Resistance [Î©],Temperature [K],Resistance error [Keithley 195A],Temperature errors
207,10.504,10.11,0.53
312,8.63,11.7,0.35
402,7.767,13.03,0.23
481,7.141,14.22,0.22
555,6.634,15.33,0.2
620,6.338,16.3,0.17
687,6.013,17.31,0.15
757,5.765,18.36,0.2
857,5.489,19.86,0.2
937,5.171,21.06,0.2
1030,4.923,22.5,0.2
1045,4.8889,22.68,0.2
1085,4.804,23.28,0.2
1116,4.72,23.74,0.2
1152,4.655,24.3,0.2
1169,4.622,24.54,0.2
1184,4.557,24.8,0.2
1198,4.478,25,0.2
1220,4.447,25.3,0.2
1244,4.416,25.7,0.2
1263,4.4,25.95,0.2
1303,4.37,26.55,0.2
1313,4.354,26.7,0.2
